GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Caricature,com.caricature.model,ReimburseBuilder,3,0,0,0,1,0,1,0,1,0
Caricature,com.caricature.model,Reimbursement,134,0,0,0,56,0,30,0,30,0
Caricature,com.caricature.model,User,80,3,0,0,33,2,17,1,17,1
Caricature,com.caricature.model,ReimStatus,26,0,0,0,12,0,6,0,6,0
Caricature,com.caricature.model,UserRole,26,0,0,0,12,0,6,0,6,0
Caricature,com.caricature.model,ReimType,26,0,0,0,12,0,6,0,6,0
Caricature,com.caricature.servlet,LoginServlet,232,0,12,0,62,0,12,0,6,0
Caricature,com.caricature.servlet,RequestForwarder,47,0,14,0,8,0,11,0,2,0
Caricature,com.caricature.servlet,ReimServlet,99,0,12,0,18,0,9,0,3,0
Caricature,com.caricature.servlet,LogoutServlet,39,0,0,0,12,0,3,0,3,0
Caricature,com.caricature.servlet,DataServlet,17,0,0,0,5,0,3,0,3,0
Caricature,com.caricature.servlet,ViewServlet,5,0,0,0,3,0,3,0,3,0
Caricature,com.caricature.servlet,HomeServlet,5,0,0,0,3,0,3,0,3,0
Caricature,com.caricature.controller,ServletDataController,173,0,6,0,51,0,10,0,7,0
Caricature,com.caricature.controller,ReimburseController,3,0,0,0,1,0,1,0,1,0
Caricature,com.caricature.repo,UserDAO,348,0,12,0,110,0,14,0,8,0
Caricature,com.caricature.repo,ReimburseDAO,574,0,12,0,160,0,14,0,8,0
Caricature,com.caricature.util,DAOConnection,11,24,2,0,5,8,2,2,1,2
